original_title,vote_average,release_year,original_language
Happy Feet Two,5.8,2011.0,en
The Incredible Hulk,6.1,2008.0,en
The BFG,6.0,2016.0,en
The Revenant,7.3,2015.0,en
Turbo,6.1,2013.0,en
Rango,6.6,2011.0,en
Penguins of Madagascar,6.5,2014.0,en
The Bourne Ultimatum,7.3,2007.0,en
Kung Fu Panda,6.9,2008.0,en
Ant-Man,7.0,2015.0,en
The Hunger Games: Catching Fire,7.4,2013.0,en
Home,6.8,2015.0,en
War of the Worlds,6.2,2005.0,en
Bad Boys II,6.3,2003.0,en
Puss in Boots,6.4,2011.0,en
Salt,6.2,2010.0,en
Noah,5.6,2014.0,en
The Adventures of Tintin,6.7,2011.0,en
Harry Potter and the Prisoner of Azkaban,7.7,2004.0,en
Australia,6.3,2008.0,en
After Earth,5.0,2013.0,en
Dinosaur,6.2,2000.0,en
Night at the Museum: Secret of the Tomb,6.1,2014.0,en
Megamind,6.7,2010.0,en
Harry Potter and the Philosopher's Stone,7.5,2001.0,en
R.I.P.D.,5.4,2013.0,en
Pirates of the Caribbean: The Curse of the Black Pearl,7.5,2003.0,en
The Hunger Games: Mockingjay - Part 1,6.6,2014.0,en
The Da Vinci Code,6.5,2006.0,en
Rio 2,6.3,2014.0,en
X2,6.8,2003.0,en
Fast Five,7.1,2011.0,en
Sherlock Holmes: A Game of Shadows,7.0,2011.0,en
Clash of the Titans,5.6,2010.0,en
Total Recall,7.1,1990.0,en
The 13th Warrior,6.4,1999.0,en
The Bourne Legacy,6.0,2012.0,en
Batman & Robin,4.2,1997.0,en
How the Grinch Stole Christmas,6.2,2000.0,en
The Day After Tomorrow,6.2,2004.0,en
Mission: Impossible II,5.9,2000.0,en
The Perfect Storm,6.2,2000.0,en
4: Rise of the Silver Surfer,5.4,2007.0,en
Life of Pi,7.2,2012.0,en
Ghost Rider,5.2,2007.0,en
Jason Bourne,5.9,2016.0,en
Charlie's Angels: Full Throttle,5.2,2003.0,en
Prometheus,6.3,2012.0,en
Stuart Little 2,5.4,2002.0,en
Elysium,6.4,2013.0,en
The Chronicles of Riddick,6.3,2004.0,en
RoboCop,5.7,2014.0,en
Speed Racer,5.7,2008.0,en
How Do You Know,4.9,2010.0,en
Knight and Day,5.9,2010.0,en
Oblivion,6.4,2013.0,en
Star Wars: Episode III - Revenge of the Sith,7.1,2005.0,en
Star Wars: Episode II - Attack of the Clones,6.4,2002.0,en
"Monsters, Inc.",7.5,2001.0,en
The Wolverine,6.3,2013.0,en
Star Wars: Episode I - The Phantom Menace,6.3,1999.0,en
The Croods,6.8,2013.0,en
Astérix aux Jeux Olympiques,5.0,2008.0,fr
Windtalkers,5.8,2002.0,en
The Huntsman: Winter's War,6.0,2016.0,en
Teenage Mutant Ninja Turtles,5.8,2014.0,en
Gravity,7.3,2013.0,en
Dante's Peak,5.7,1997.0,en
Teenage Mutant Ninja Turtles: Out of the Shadows,5.8,2016.0,en
Fantastic Four,4.4,2015.0,en
Night at the Museum,6.3,2006.0,en
San Andreas,6.0,2015.0,en
Tomorrow Never Dies,6.0,1997.0,en
The Patriot,6.8,2000.0,en
Ocean's Twelve,6.4,2004.0,en
Mr. & Mrs. Smith,6.5,2005.0,en
Insurgent,6.2,2015.0,en
The Aviator,7.0,2004.0,en
Gulliver's Travels,4.9,2010.0,en
The Green Hornet,5.5,2011.0,en
300: Rise of an Empire,6.1,2014.0,en
The Smurfs,5.5,2011.0,en
Home on the Range,5.7,2004.0,en
Allegiant,5.9,2016.0,en
Real Steel,6.6,2011.0,en
The Smurfs 2,5.5,2013.0,en
Speed 2: Cruise Control,4.1,1997.0,en
Ender's Game,6.6,2013.0,en
Live Free or Die Hard,6.4,2007.0,en
The Lord of the Rings: The Fellowship of the Ring,8.0,2001.0,en
Around the World in 80 Days,5.7,2004.0,en
Ali,6.7,2001.0,en
The Cat in the Hat,4.9,2003.0,en
"I, Robot",6.7,2004.0,en
Kingdom of Heaven,6.6,2005.0,en
Stuart Little,5.8,1999.0,en
The Princess and the Frog,6.7,2009.0,en
The Martian,7.6,2015.0,en
The Island,6.5,2005.0,en
Town & Country,3.7,2001.0,en
Gone in Sixty Seconds,6.1,2000.0,en
Gladiator,7.9,2000.0,en
Minority Report,7.1,2002.0,en
Harry Potter and the Chamber of Secrets,7.4,2002.0,en
Casino Royale,7.3,2006.0,en
Planet of the Apes,5.6,2001.0,en
Terminator 2: Judgment Day,7.7,1991.0,en
Public Enemies,6.5,2009.0,en
American Gangster,7.4,2007.0,en
True Lies,6.8,1994.0,en
The Taking of Pelham 1 2 3,6.2,2009.0,en
Little Fockers,5.4,2010.0,en
The Other Guys,6.1,2010.0,en
Eraser,5.6,1996.0,en
Django Unchained,7.8,2012.0,en
The Hunchback of Notre Dame,6.8,1996.0,en
The Emperor's New Groove,7.2,2000.0,en
The Expendables 2,6.1,2012.0,en
National Treasure,6.4,2004.0,en
Eragon,4.9,2006.0,en
Where the Wild Things Are,6.4,2009.0,en
Epic,6.4,2013.0,en
The Tourist,6.0,2010.0,en
End of Days,5.5,1999.0,en
Blood Diamond,7.3,2006.0,en
The Wolf of Wall Street,7.9,2013.0,en
Batman Forever,5.2,1995.0,en
Starship Troopers,6.7,1997.0,en
Cloud Atlas,6.6,2012.0,en
Legend of the Guardians: The Owls of Ga'Hoole,6.5,2010.0,en
Catwoman,4.2,2004.0,en
Hercules,5.6,2014.0,en
Treasure Planet,7.2,2002.0,en
Land of the Lost,5.3,2009.0,en
The Expendables 3,6.1,2014.0,en
Point Break,5.5,2015.0,en
Son of the Mask,3.6,2005.0,en
In the Heart of the Sea,6.5,2015.0,en
The Adventures of Pluto Nash,4.4,2002.0,en
Green Zone,6.4,2010.0,en
The Peanuts Movie,6.5,2015.0,en
The Spanish Prisoner,7.1,1997.0,en
The Mummy Returns,6.0,2001.0,en
Gangs of New York,7.1,2002.0,en
金陵十三釵,7.1,2011.0,zh
Surf's Up,5.9,2007.0,en
The Stepford Wives,5.4,2004.0,en
Black Hawk Down,7.2,2001.0,en
The Campaign,5.6,2012.0,en
The Fifth Element,7.3,1997.0,en
Sex and the City 2,5.4,2010.0,en
The Road to El Dorado,7.0,2000.0,en
Ice Age: Continental Drift,6.2,2012.0,en
Cinderella,6.7,2015.0,en
The Lovely Bones,6.6,2009.0,en
Finding Nemo,7.6,2003.0,en
The Lord of the Rings: The Return of the King,8.1,2003.0,en
The Lord of the Rings: The Two Towers,8.0,2002.0,en
Seventh Son,5.2,2014.0,en
Lara Croft: Tomb Raider,5.7,2001.0,en
Transcendence,5.9,2014.0,en
Jurassic Park III,5.7,2001.0,en
Rise of the Planet of the Apes,7.0,2011.0,en
The Spiderwick Chronicles,6.3,2008.0,en
A Good Day to Die Hard,5.2,2013.0,en
The Alamo,5.8,2004.0,en
The Incredibles,7.4,2004.0,en
Cutthroat Island,5.7,1995.0,en
Percy Jackson & the Olympians: The Lightning Thief,6.0,2010.0,en
Men in Black,6.9,1997.0,en
Toy Story 2,7.3,1999.0,en
Unstoppable,6.3,2010.0,en
Rush Hour 2,6.4,2001.0,en
What Lies Beneath,6.3,2000.0,en
Cloudy with a Chance of Meatballs,6.5,2009.0,en
Ice Age: Dawn of the Dinosaurs,6.5,2009.0,en
The Secret Life of Walter Mitty,7.0,2013.0,en
Charlie's Angels,5.6,2000.0,en
The Departed,7.9,2006.0,en
Mulan,7.6,1998.0,en
Tropic Thunder,6.5,2008.0,en
The Girl with the Dragon Tattoo,7.2,2011.0,en
Die Hard: With a Vengeance,6.9,1995.0,en
Sherlock Holmes,7.0,2009.0,en
Ben-Hur,5.3,2016.0,en
Atlantis: The Lost Empire,6.7,2001.0,en
Alvin and the Chipmunks: The Road Chip,5.8,2015.0,en
Valkyrie,6.7,2008.0,en
You Don't Mess with the Zohan,5.5,2008.0,en
Pixels,5.6,2015.0,en
A.I. Artificial Intelligence,6.8,2001.0,en
The Haunted Mansion,5.2,2003.0,en
Contact,7.2,1997.0,en
Hollow Man,5.6,2000.0,en
The Interpreter,6.2,2005.0,en
Percy Jackson: Sea of Monsters,5.9,2013.0,en
Lara Croft Tomb Raider: The Cradle of Life,5.5,2003.0,en
Now You See Me 2,6.7,2016.0,en
The Saint,5.9,1997.0,en
Spy Game,6.8,2001.0,en
Mission to Mars,5.7,2000.0,en
Rio,6.5,2011.0,en
Bicentennial Man,6.9,1999.0,en
Volcano,5.2,1997.0,en
The Devil's Own,5.9,1997.0,en
K-19: The Widowmaker,6.1,2002.0,en
Conan the Barbarian,6.6,1982.0,en
Cinderella Man,7.3,2005.0,en
The Nutcracker: The Untold Story,5.4,2010.0,en
Seabiscuit,6.7,2003.0,en
Twister,6.1,1996.0,en
Cast Away,7.5,2000.0,en
Happy Feet,5.9,2006.0,en
The Bourne Supremacy,7.2,2004.0,en
Air Force One,6.2,1997.0,en
Ocean's Eleven,7.2,2001.0,en
The Three Musketeers,5.6,2011.0,en
Hotel Transylvania,6.8,2012.0,en
Enchanted,6.6,2007.0,en
Safe House,6.3,2012.0,en
102 Dalmatians,5.1,2000.0,en
Tower Heist,5.8,2011.0,en
The Holiday,6.7,2006.0,en
Enemy of the State,6.7,1998.0,en
It's Complicated,6.2,2009.0,en
Ocean's Thirteen,6.5,2007.0,en
Open Season,6.1,2006.0,en
Divergent,6.9,2014.0,en
Enemy at the Gates,7.2,2001.0,en
The Rundown,6.4,2003.0,en
Last Action Hero,6.1,1993.0,en
Memoirs of a Geisha,7.3,2005.0,en
The Fast and the Furious: Tokyo Drift,6.1,2006.0,en
Arthur Christmas,6.7,2011.0,en
Meet Joe Black,6.9,1998.0,en
Collateral Damage,5.5,2002.0,en
All That Jazz,7.3,1979.0,en
Mirror Mirror,5.5,2012.0,en
Scott Pilgrim vs. the World,7.2,2010.0,en
The Core,5.4,2003.0,en
Nutty Professor II: The Klumps,4.7,2000.0,en
Scooby-Doo,5.4,2002.0,en
Dredd,6.6,2012.0,en
Click,6.0,2006.0,en
Creepshow,6.7,1982.0,en
Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,2010.0,en
Jumper,5.9,2008.0,en
Hellboy II: The Golden Army,6.5,2008.0,en
Zodiac,7.3,2007.0,en
The 6th Day,5.7,2000.0,en
Bruce Almighty,6.4,2003.0,en
The Expendables,6.0,2010.0,en
Mission: Impossible,6.7,1996.0,en
The Hunger Games,6.9,2012.0,en
The Hangover Part II,6.2,2011.0,en
Batman Returns,6.6,1992.0,en
Over the Hedge,6.3,2006.0,en
Lilo & Stitch,7.1,2002.0,en
Charlotte's Web,5.8,2006.0,en
Deep Impact,5.9,1998.0,en
RED 2,6.4,2013.0,en
The Longest Yard,6.2,2005.0,en
Alvin and the Chipmunks: Chipwrecked,5.4,2011.0,en
Grown Ups 2,5.8,2013.0,en
Get Smart,6.0,2008.0,en
Something's Gotta Give,6.3,2003.0,en
Shutter Island,7.8,2010.0,en
Four Christmases,5.3,2008.0,en
Robots,6.0,2005.0,en
Face/Off,6.8,1997.0,en
Bedtime Stories,5.9,2008.0,en
Road to Perdition,7.3,2002.0,en
Just Go with It,6.3,2011.0,en
Con Air,6.5,1997.0,en
Eagle Eye,6.3,2008.0,en
Cold Mountain,6.7,2003.0,en
The Book of Eli,6.6,2010.0,en
Flubber,5.3,1997.0,en
The Haunting,5.2,1999.0,en
Space Jam,6.5,1996.0,en
The Pink Panther,5.6,2006.0,en
The Day the Earth Stood Still,5.2,2008.0,en
Conspiracy Theory,6.5,1997.0,en
Fury,7.4,2014.0,en
Six Days Seven Nights,5.6,1998.0,en
Yogi Bear,5.2,2010.0,en
Spirit: Stallion of the Cimarron,7.4,2002.0,en
Zookeeper,5.3,2011.0,en
Lost in Space,5.0,1998.0,en
The Manchurian Candidate,6.2,2004.0,en
Déjà Vu,8.0,1998.0,en
Hotel Transylvania 2,6.7,2015.0,en
Fantasia 2000,7.0,1999.0,en
The Time Machine,5.8,2002.0,en
Mighty Joe Young,5.9,1998.0,en
Swordfish,6.1,2001.0,en
The Legend of Zorro,5.9,2005.0,en
What Dreams May Come,6.8,1998.0,en
Little Nicky,5.2,2000.0,en
The Brothers Grimm,5.6,2005.0,en
Mars Attacks!,6.1,1996.0,en
Évolution,6.4,2015.0,fr
The Edge,6.7,1997.0,en
Surrogates,5.9,2009.0,en
Thirteen Days,6.9,2000.0,en
Daylight,5.8,1996.0,en
Walking With Dinosaurs,5.2,2013.0,en
Battlefield Earth,3.0,2000.0,en
Looney Tunes: Back in Action,5.6,2003.0,en
Nine,5.1,2009.0,en
Timeline,5.4,2003.0,en
The Postman,6.1,1997.0,en
Babe: Pig in the City,5.2,1998.0,en
The Last Witch Hunter,5.7,2015.0,en
Red Planet,5.4,2000.0,en
Arthur et les Minimoys,6.0,2006.0,en
Oceans,7.3,2009.0,en
A Sound of Thunder,4.8,2005.0,en
Pompeii,5.2,2014.0,en
Don Gato: El inicio de la pandilla,5.3,2015.0,es
A Beautiful Mind,7.7,2001.0,en
The Lion King,8.0,1994.0,en
Journey 2: The Mysterious Island,5.8,2012.0,en
Cloudy with a Chance of Meatballs 2,6.4,2013.0,en
Red Dragon,6.7,2002.0,en
Hidalgo,6.5,2004.0,en
Jack and Jill,4.1,2011.0,en
2 Fast 2 Furious,6.2,2003.0,en
The Little Prince,7.6,2015.0,en
The Invasion,5.7,2007.0,en
The Adventures of Rocky & Bullwinkle,3.9,2000.0,en
The Secret Life of Pets,5.9,2016.0,en
The League of Extraordinary Gentlemen,5.7,2003.0,en
Despicable Me 2,7.0,2013.0,en
Independence Day,6.7,1996.0,en
The Lost World: Jurassic Park,6.2,1997.0,en
Madagascar,6.6,2005.0,en
Children of Men,7.4,2006.0,en
X-Men,6.8,2000.0,en
Wanted,6.4,2008.0,en
The Rock,6.9,1996.0,en
Ice Age: The Meltdown,6.5,2006.0,en
50 First Dates,6.6,2004.0,en
Hairspray,6.5,2007.0,en
Exorcist: The Beginning,4.7,2004.0,en
Inspector Gadget,4.3,1999.0,en
Now You See Me,7.3,2013.0,en
Grown Ups,6.0,2010.0,en
The Terminal,7.0,2004.0,en
Hotel for Dogs,5.7,2009.0,en
Vertical Limit,5.9,2000.0,en
Charlie Wilson's War,6.5,2007.0,en
Shark Tale,5.8,2004.0,en
Dreamgirls,6.6,2006.0,en
Be Cool,5.4,2005.0,en
Munich,6.9,2005.0,en
Tears of the Sun,6.4,2003.0,en
Killers,5.7,2010.0,en
The Man from U.N.C.L.E.,7.1,2015.0,en
Spanglish,5.8,2004.0,en
Monster House,6.3,2006.0,en
Bandits,6.2,2001.0,en
First Knight,5.9,1995.0,en
Anna and the King,6.4,1999.0,en
Immortals,5.7,2011.0,en
Hostage,6.2,2005.0,en
Titan A.E.,6.3,2000.0,en
Hollywood Homicide,5.0,2003.0,en
Soldier,6.1,1998.0,en
Carriers,5.8,2009.0,en
Monkeybone,4.3,2001.0,en
Flight of the Phoenix,5.7,2004.0,en
Unbreakable,6.9,2000.0,en
Minions,6.4,2015.0,en
Sucker Punch,5.9,2011.0,en
Snake Eyes,5.8,1998.0,en
Sphere,5.8,1998.0,en
The Angry Birds Movie,5.9,2016.0,en
Fool's Gold,5.4,2008.0,en
Funny People,5.7,2009.0,en
The Kingdom,6.5,2007.0,en
Talladega Nights: The Ballad of Ricky Bobby,6.2,2006.0,en
Dr. Dolittle 2,4.9,2001.0,en
Braveheart,7.7,1995.0,en
Jarhead,6.6,2005.0,en
The Simpsons Movie,6.9,2007.0,en
The Majestic,6.6,2001.0,en
Driven,4.5,2001.0,en
Deux frères,6.9,2004.0,en
The Village,6.2,2004.0,en
Doctor Dolittle,5.4,1998.0,en
Signs,6.4,2002.0,en
Shrek 2,6.7,2004.0,en
Cars,6.6,2006.0,en
Runaway Bride,5.7,1999.0,en
xXx,5.8,2002.0,en
The SpongeBob Movie: Sponge Out of Water,5.8,2015.0,en
Ransom,6.4,1996.0,en
Inglourious Basterds,7.9,2009.0,en
Hook,6.6,1991.0,en
Die Hard 2,6.6,1990.0,en
S.W.A.T.,5.8,2003.0,en
Vanilla Sky,6.5,2001.0,en
Lady in the Water,5.3,2006.0,en
AVP: Alien vs. Predator,5.5,2004.0,en
Alvin and the Chipmunks: The Squeakquel,5.4,2009.0,en
We Were Soldiers,6.7,2002.0,en
Olympus Has Fallen,6.2,2013.0,en
Star Trek: Insurrection,6.3,1998.0,en
Battle: Los Angeles,5.5,2011.0,en
Big Fish,7.6,2003.0,en
Wolf,6.0,1994.0,en
War Horse,7.0,2011.0,en
The Monuments Men,5.8,2014.0,en
The Abyss,7.1,1989.0,en
Wall Street: Money Never Sleeps,5.8,2010.0,en
Dracula Untold,6.2,2014.0,en
The Siege,6.0,1998.0,en
Stardust,7.1,2007.0,en
Seven Years in Tibet,7.0,1997.0,en
The Dilemma,5.2,2011.0,en
Bad Company,5.4,2002.0,en
Doom,5.0,2005.0,en
I Spy,5.2,2002.0,en
Underworld: Awakening,6.1,2012.0,en
Rock of Ages,6.0,2012.0,en
Hart's War,5.9,2002.0,en
Killer Elite,6.1,2011.0,en
Rollerball,3.4,2002.0,en
Ballistic: Ecks vs. Sever,4.3,2002.0,en
Hard Rain,5.5,1998.0,en
Osmosis Jones,5.9,2001.0,en
Legends of Oz: Dorothy's Return,5.9,2013.0,en
Blackhat,5.1,2015.0,en
Sky Captain and the World of Tomorrow,5.7,2004.0,en
Basic Instinct 2,4.6,2006.0,en
Escape Plan,6.7,2013.0,en
The Legend of Hercules,4.4,2014.0,en
The Sum of All Fears,5.9,2002.0,en
The Twilight Saga: Eclipse,5.8,2010.0,en
The Score,6.7,2001.0,en
Despicable Me,7.1,2010.0,en
Money Train,5.4,1995.0,en
Ted 2,6.2,2015.0,en
Agora,6.9,2009.0,en
Mystery Men,5.7,1999.0,en
Hall Pass,5.4,2011.0,en
The Insider,7.3,1999.0,en
The Finest Hours,6.3,2016.0,en
Body of Lies,6.5,2008.0,en
Dinner for Schmucks,5.5,2010.0,en
Abraham Lincoln: Vampire Hunter,5.5,2012.0,en
Entrapment,6.0,1999.0,en
The X Files,6.6,1998.0,en
The Last Legion,5.0,2007.0,en
Saving Private Ryan,7.9,1998.0,en
Need for Speed,6.1,2014.0,en
What Women Want,6.1,2000.0,en
Ice Age,7.1,2002.0,en
Dreamcatcher,5.3,2003.0,en
Lincoln,6.7,2012.0,en
The Matrix,7.9,1999.0,en
Apollo 13,7.3,1995.0,en
The Santa Clause 2,5.5,2002.0,en
Les Misérables,7.1,2012.0,en
You've Got Mail,6.3,1998.0,en
Step Brothers,6.5,2008.0,en
The Mask of Zorro,6.3,1998.0,en
Due Date,6.2,2010.0,en
Unbroken,7.3,2014.0,en
Space Cowboys,6.3,2000.0,en
Cliffhanger,6.1,1993.0,en
Broken Arrow,5.7,1996.0,en
The Kid,6.0,2000.0,en
World Trade Center,5.9,2006.0,en
Mona Lisa Smile,6.5,2003.0,en
The Dictator,5.9,2012.0,en
Eyes Wide Shut,7.1,1999.0,en
Annie,6.0,2014.0,en
Focus,6.7,2015.0,en
This Means War,5.9,2012.0,en
Blade: Trinity,5.7,2004.0,en
Red Dawn,6.4,1984.0,en
Primary Colors,6.1,1998.0,en
Resident Evil: Retribution,5.6,2012.0,en
Death Race,6.0,2008.0,en
The Long Kiss Goodnight,6.5,1996.0,en
Proof of Life,6.0,2000.0,en
Zathura: A Space Adventure,6.1,2005.0,en
Fight Club,8.3,1999.0,en
We Are Marshall,6.7,2006.0,en
Hudson Hawk,5.4,1991.0,en
Lucky Numbers,4.9,2000.0,en
"I, Frankenstein",5.0,2014.0,en
Oliver Twist,6.7,2005.0,en
Elektra,4.8,2005.0,en
Sin City: A Dame to Kill For,6.3,2014.0,en
Random Hearts,5.3,1999.0,en
Everest,6.7,2015.0,en
Perfume: The Story of a Murderer,7.1,2006.0,en
Austin Powers in Goldmember,5.9,2002.0,en
Astro Boy,6.1,2009.0,en
Jurassic Park,7.6,1993.0,en
Wyatt Earp,6.5,1994.0,en
Clear and Present Danger,6.4,1994.0,en
天將雄師,5.9,2015.0,zh
Little Man,5.3,2006.0,en
U-571,6.1,2000.0,en
The American President,6.5,1995.0,en
The Love Guru,4.3,2008.0,en
3000 Miles to Graceland,5.8,2001.0,en
The Hateful Eight,7.6,2015.0,en
Blades of Glory,5.9,2007.0,en
Hop,5.5,2011.0,en
300,7.0,2006.0,en
Meet the Fockers,6.1,2004.0,en
Marley & Me,6.9,2008.0,en
The Green Mile,8.2,1999.0,en
